epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,465.222,0.59446,0.46078,0.94533,0.74971,0.49056,0.46102,0.36265,1.01384,1.49473,1.2739,0.000339673,0.000339673,0.000339673
79,470.634,0.60871,0.50291,0.97949,0.75084,0.49453,0.45935,0.36666,1.00914,1.52685,1.27764,0.000325526,0.000325526,0.000325526
80,481.561,0.52044,0.42932,0.91563,0.75084,0.49453,0.45935,0.36666,1.00914,1.52685,1.27764,0.000311379,0.000311379,0.000311379
81,489.008,0.56129,0.47427,0.94056,0.76503,0.51271,0.4617,0.35986,1.01869,1.58035,1.31139,0.000297232,0.000297232,0.000297232
82,498.067,0.56384,0.46541,0.95931,0.76503,0.51271,0.4617,0.35986,1.01869,1.58035,1.31139,0.000283085,0.000283085,0.000283085
83,508.206,0.5539,0.42156,0.93628,0.78134,0.52819,0.47181,0.36378,0.99866,1.60913,1.30233,0.000268938,0.000268938,0.000268938
84,513.434,0.51732,0.44215,0.92834,0.78818,0.52881,0.48198,0.37877,0.98011,1.64558,1.276,0.000254791,0.000254791,0.000254791
85,524.657,0.55091,0.41484,0.93629,0.78818,0.52881,0.48198,0.37877,0.98011,1.64558,1.276,0.000240644,0.000240644,0.000240644
86,532.259,0.5114,0.40129,0.90903,0.78178,0.53056,0.48896,0.38721,0.96924,1.62777,1.25522,0.000226497,0.000226497,0.000226497
87,547.003,0.54594,0.42162,0.94324,0.78178,0.53056,0.48896,0.38721,0.96924,1.62777,1.25522,0.000212349,0.000212349,0.000212349
88,551.954,0.51828,0.40086,0.91357,0.7731,0.52512,0.49383,0.38631,0.95866,1.60572,1.24877,0.000198202,0.000198202,0.000198202
89,563.495,0.52591,0.45006,0.92616,0.77666,0.52122,0.49699,0.39096,0.95579,1.54999,1.26085,0.000184055,0.000184055,0.000184055
90,573.6,0.49287,0.40204,0.89827,0.77666,0.52122,0.49699,0.39096,0.95579,1.54999,1.26085,0.000169908,0.000169908,0.000169908
91,581.827,0.56927,0.42014,0.92673,0.45972,0.51732,0.49901,0.39951,0.96219,1.5201,1.29125,0.000155761,0.000155761,0.000155761
92,587.472,0.51522,0.37742,0.92508,0.45972,0.51732,0.49901,0.39951,0.96219,1.5201,1.29125,0.000141614,0.000141614,0.000141614
93,602.226,0.52085,0.46378,0.94518,0.79833,0.51312,0.50249,0.40123,0.95991,1.51189,1.29174,0.000127467,0.000127467,0.000127467
94,609.792,0.56808,0.42043,0.97617,0.79816,0.51537,0.50571,0.40453,0.95722,1.49497,1.28573,0.00011332,0.00011332,0.00011332
95,618.88,0.53631,0.41834,0.94704,0.79816,0.51537,0.50571,0.40453,0.95722,1.49497,1.28573,9.91726e-05,9.91726e-05,9.91726e-05
96,625.004,0.50364,0.41689,0.91991,0.79578,0.51537,0.51204,0.4097,0.96028,1.49111,1.27735,8.50255e-05,8.50255e-05,8.50255e-05
97,630.274,0.49137,0.37429,0.90421,0.79578,0.51537,0.51204,0.4097,0.96028,1.49111,1.27735,7.08784e-05,7.08784e-05,7.08784e-05
98,634.844,0.48605,0.42148,0.91339,0.80145,0.51732,0.52303,0.41533,0.96048,1.48674,1.28037,5.67313e-05,5.67313e-05,5.67313e-05
99,641.676,0.4196,3.10036,0.87375,0.80418,0.51923,0.52515,0.41833,0.96061,1.50405,1.27926,4.25842e-05,4.25842e-05,4.25842e-05
100,655.654,0.49775,0.39665,0.91101,0.80418,0.51923,0.52515,0.41833,0.96061,1.50405,1.27926,2.84371e-05,2.84371e-05,2.84371e-05
